date,amount,price,sid,symbol,value
2013-05-21 00:00:00+00:00,40,286.05,111,PIDI,-11442.0
2013-05-21 00:00:00+00:00,-20,577.75,113,PIRA,11555.0
2013-06-04 00:00:00+00:00,11,985.0,5,APLH,-10835.0
2013-06-04 00:00:00+00:00,51,222.65,78,ITC,-11355.15
2013-06-04 00:00:00+00:00,39,285.0,105,OILI,-11115.0
2013-06-04 00:00:00+00:00,-57,221.9,138,TRCE,12648.300000000001
2013-06-11 00:00:00+00:00,-23,453.0,11,ASPN,10419.0
2013-06-11 00:00:00+00:00,47,242.63,46,EMAM,-11403.61
2013-06-11 00:00:00+00:00,22,499.0,146,UNSP,-10978.0
2013-06-18 00:00:00+00:00,2,4127.75,108,PAGE,-8255.5
2013-06-18 00:00:00+00:00,-15,702.33,133,TCS,10534.95
2013-07-02 00:00:00+00:00,19,586.5,64,HLL,-11143.5
2013-07-02 00:00:00+00:00,-196,56.0,70,IGAS,10976.0
2013-07-02 00:00:00+00:00,31,360.05,83,KTKM,-11161.550000000001
2013-07-02 00:00:00+00:00,-4,2432.22,124,SANO,9728.88
2013-07-09 00:00:00+00:00,-59,202.55,61,HCLT,11950.45
2013-07-09 00:00:00+00:00,-39,282.38,105,OILI,11012.82
2013-07-09 00:00:00+00:00,3,2962.05,117,PROC,-8886.150000000001
2013-07-16 00:00:00+00:00,-70,163.3,32,CAST,11431.0
2013-07-16 00:00:00+00:00,5,2312.0,120,REDY,-11560.0
2013-07-23 00:00:00+00:00,-31,352.5,83,KTKM,10927.5
2013-07-30 00:00:00+00:00,-47,217.19,33,CCRI,10207.93
2013-08-06 00:00:00+00:00,172,68.2,47,ESCO,-11730.4
2013-08-06 00:00:00+00:00,-28,426.0,55,GOCP,11928.0
2013-08-06 00:00:00+00:00,-40,268.0,111,PIDI,10720.0
2013-08-13 00:00:00+00:00,2,5111.9,100,NEST,-10223.8
2013-08-20 00:00:00+00:00,-166,76.43,28,BRGR,12687.380000000001
2013-08-20 00:00:00+00:00,22,533.25,53,GLEN,-11731.5
2013-08-20 00:00:00+00:00,93,124.8,99,NATP,-11606.4
2013-08-27 00:00:00+00:00,48,233.19,61,HCLT,-11193.119999999999
2013-08-27 00:00:00+00:00,-51,203.03,78,ITC,10354.53
2013-08-27 00:00:00+00:00,-2,4860.0,100,NEST,9720.0
2013-09-03 00:00:00+00:00,-11,857.05,5,APLH,9427.55
2013-09-03 00:00:00+00:00,201,58.21,19,BION,-11700.210000000001
2013-09-03 00:00:00+00:00,-47,213.75,46,EMAM,10046.25
2013-09-03 00:00:00+00:00,6,1980.0,66,HROM,-11880.0
2013-09-03 00:00:00+00:00,-3,2601.0,117,PROC,7803.0
2013-09-03 00:00:00+00:00,11,989.59,133,TCS,-10885.49
2013-09-03 00:00:00+00:00,16,688.31,134,TEML,-11012.96
2013-09-10 00:00:00+00:00,-22,531.0,53,GLEN,11682.0
2013-09-17 00:00:00+00:00,21,527.79,90,MINT,-11083.59
2013-09-17 00:00:00+00:00,-22,507.6,146,UNSP,11167.2
2013-09-17 00:00:00+00:00,48,226.93,152,WIPR,-10892.64
2013-09-24 00:00:00+00:00,4,2649.4,107,ORCL,-10597.6
2013-10-01 00:00:00+00:00,35,329.37,132,TAMO,-11527.95
2013-10-08 00:00:00+00:00,-4,2815.26,107,ORCL,11261.04
2013-10-22 00:00:00+00:00,-19,605.0,64,HLL,11495.0
2013-10-22 00:00:00+00:00,30,413.98,75,INFY,-12419.400000000001
2013-10-29 00:00:00+00:00,5,2073.0,13,BAJA,-10365.0
2013-10-29 00:00:00+00:00,-2,4442.0,108,PAGE,8884.0
2013-11-05 00:00:00+00:00,-69,177.45,42,DABU,12244.05
2013-11-05 00:00:00+00:00,62,213.0,112,PIIL,-13206.0
2013-11-12 00:00:00+00:00,88,143.95,17,BFRG,-12667.599999999999
2013-11-12 00:00:00+00:00,-19,701.0,77,IPCA,13319.0
2013-11-19 00:00:00+00:00,-16,858.0,86,LUPN,13728.0
2013-11-19 00:00:00+00:00,250,52.33,93,MOSS,-13082.5
2013-11-26 00:00:00+00:00,87,142.43,8,ARBN,-12391.41
2013-11-26 00:00:00+00:00,-5,1930.3,13,BAJA,9651.5
2013-11-26 00:00:00+00:00,-5,2440.0,120,REDY,12200.0
2013-11-26 00:00:00+00:00,238,53.65,142,TVSM,-12768.699999999999
2013-12-03 00:00:00+00:00,259,52.04,97,NAFL,-13478.36
2013-12-03 00:00:00+00:00,-27,598.0,129,SUN,16146.0
2013-12-10 00:00:00+00:00,49,275.1,52,GGAS,-13479.900000000001
